label,final_id,day,sub.cl,size,final_label,final_color,description
D26.1,1,D26,1,26,P26.ANXA1,#00007F,
D26.2,2,D26,2,103,P26.PAX6,#0012FF,
D26.3,3,D26,3,89,P26.NKX2-1,#00A3FF,
D26.4,4,D26,4,13,I26.DLL1,#36FFC8,
D26.5,5,D26,5,120,N26.LHX8.1,#C8FF36,
D26.6,6,D26,6,69,N26.LHX8.2,#7FFF8F,
D26.7,7,D26,7,31,N26.SP8,#FFB282,
D26.8,8,D26,8,25,N26.CFC1,#FFB200,
D54.1,9,D54,1,27,P54.CRABP2,#00009F,
D54.2,10,D54,2,49,P54.SPARCL1,#0000E5,
D54.3,11,D54,3,57,P54.P.PAX6,#004CFF,
D54.4,12,D54,4,33,I54.OLIG1,#00B2FF,
D54.5,13,D54,5,39,I54.ST18,#19FFE5,
D54.6,14,D54,6,99,N54.N.SST1,#EF5C03,
D54.7,15,D54,7,87,N54.N.SST2,#FF4C00,
D54.8,16,D54,8,42,N54.N.CORT.1,#9900CC,
D54.9,17,D54,9,85,N54.N.CORT.2,#993366,
D54.10,18,D54,10,57,N54.N.CFC1,#FFB202,
D54.11,19,D54,11,10,N54.-,grey,
D100.1,20,D100,1,12,P100.ATF3,#00008F,
D100.2,21,D100,2,11,P100.CTGF,#0000D4,
D100.3,22,D100,3,16,P100.FRZB,#002AFF,
D100.4,23,D100,4,52,P100.AQP4,#008FFF,
D100.5,24,D100,5,53,P100.CRH,#00D4FF,
D100.6,25,D100,6,36,P100.OLIG,#2AFFD4,
D100.7,26,D100,7,34,I100,#7FFF9F,
D100.8,27,D100,8,109,N100.DLX5,#D4FF2A,
D100.9,28,D100,9,62,N100.SST,#EF5C05,
D100.10,29,D100,10,74,N100.CRABP1,#FF4C04,
D100.11,30,D100,11,32,N100.CORT,#993396,
D100.12,31,D100,12,19,N100.CFC1,#FFB206,
D100.13,32,D100,13,9,O100,#7E0000,
D125.1,33,D125,1,30,P125.ATF3,#00007E,
D125.2,34,D125,2,5,P125.CYP1B1,#0000FF,
D125.3,35,D125,3,5,P125.ANXA1,#007FFE,
D125.4,36,D125,4,24,P125.FRZB,#00FFFF,
D125.5,37,D125,5,6,I125,#7FFF7F,
D125.6,38,D125,6,12,N125.GAD1,#D4FF3A,
D125.7,39,D125,7,57,N125.SST,#FF6C03,
D125.8,40,D125,8,6,N125.CORT,#994396,
D125.9,41,D125,9,8,O125,#7F0002,
